7;5;7;1;1;1;1;1;5;7;1;1;1;1;1;5;
4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;
4;0;0;0;0;0;0;0;0;0;2;0;0;2;40;3;
4;0;0;6;4;0;0;0;0;2;5;4;0;5;4;3;
8;0;0;1;6;4;2;0;0;5;4;0;0;0;0;3;
7;0;6;4;1;3;7;0;0;0;0;0;0;0;0;3;
4;0;1;0;0;10;0;2;2;0;0;3;8;0;0;3;
4;0;0;0;0;0;3;500;500;4;0;0;1;0;0;6;
4;0;0;2;0;0;3;500;500;4;0;0;0;0;0;5;
8;0;0;205;4;20;2;1;1;0;3;8;0;0;0;3;
7;3;8;0;0;0;5;4;0;0;2;1;0;0;0;3;
4;0;1;0;0;0;0;0;0;3;7;0;2;0;0;3;
4;0;0;0;0;0;3;8;0;2;0;3;7;0;0;6;
4;0;0;6;4;0;0;1;3;7;0;0;0;0;0;5;
4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;
8;2;2;6;8;2;2;2;2;2;2;2;6;8;32;6;
