27;5;7;1;1;1;1;1;1;1;1;5;7;1;1;5;
4;0;0;0;0;2;0;0;0;0;2;0;0;0;0;3;
4;0;0;2;0;5;4;0;6;4;5;4;6;4;0;3;
4;0;0;5;4;0;0;0;1;0;0;32;1;0;0;3;
4;0;0;0;0;0;0;3;8;0;3;7;0;0;0;3;
8;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;
7;0;2;0;0;0;0;2;2;0;6;4;0;0;0;3;
4;0;205;4;2;0;3;500;500;4;1;0;0;0;0;6;
8;0;2;3;7;0;3;500;500;4;3;8;0;0;0;5;
7;0;5;4;0;0;0;1;1;0;0;1;0;10;0;6;
4;0;0;0;0;0;0;0;0;0;2;0;6;4;40;5;
4;0;0;0;0;0;0;0;0;3;7;0;1;0;0;3;
4;0;0;2;0;0;3;8;0;0;0;0;0;0;0;3;
4;0;3;7;0;0;0;1;0;3;8;0;0;0;0;3;
4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;
8;2;2;2;2;6;8;2;2;6;8;2;2;2;2;6;
